Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
0.403071	DL DCI Rxed	40	3	0	1	1	0	15	2
0.404071	DL DCI Rxed	40	4	0	1	1	0	14	2
0.405071	DL DCI Rxed	40	5	0	1	1	0	13	2
0.405929	HARQ FD Txed	40	5	0	1	1	0	15	2
0.406071	DL DCI Rxed	40	6	0	1	1	0	12	2
0.406929	HARQ FD Txed	40	6	0	1	1	0	14	2
0.407071	DL DCI Rxed	40	7	0	1	1	0	11	2
0.407929	HARQ FD Txed	40	7	0	1	1	0	13	2
0.408071	DL DCI Rxed	40	8	0	1	1	0	15	2
0.408929	HARQ FD Txed	40	8	0	1	1	0	12	2
0.409071	DL DCI Rxed	40	9	0	1	1	0	14	2
0.409929	HARQ FD Txed	40	9	0	1	1	0	11	2
0.410071	DL DCI Rxed	41	0	0	1	1	0	13	2
0.410929	HARQ FD Txed	41	0	0	1	1	0	15	2
0.411071	DL DCI Rxed	41	1	0	1	1	0	12	2
0.411929	HARQ FD Txed	41	1	0	1	1	0	14	2
0.412071	DL DCI Rxed	41	2	0	1	1	0	11	2
0.412929	HARQ FD Txed	41	2	0	1	1	0	13	2
0.413071	DL DCI Rxed	41	3	0	1	1	0	15	2
0.413929	HARQ FD Txed	41	3	0	1	1	0	12	2
0.414071	DL DCI Rxed	41	4	0	1	1	0	14	2
0.414929	HARQ FD Txed	41	4	0	1	1	0	11	2
0.415071	DL DCI Rxed	41	5	0	1	1	0	13	2
0.415929	HARQ FD Txed	41	5	0	1	1	0	15	2
0.416071	DL DCI Rxed	41	6	0	1	1	0	12	2
0.416929	HARQ FD Txed	41	6	0	1	1	0	14	2
0.417071	DL DCI Rxed	41	7	0	1	1	0	11	2
0.417929	HARQ FD Txed	41	7	0	1	1	0	13	2
0.418071	DL DCI Rxed	41	8	0	1	1	0	15	2
0.418929	HARQ FD Txed	41	8	0	1	1	0	12	2
0.419071	DL DCI Rxed	41	9	0	1	1	0	14	2
0.419929	HARQ FD Txed	41	9	0	1	1	0	11	2
0.420071	DL DCI Rxed	42	0	0	1	1	0	13	2
0.420929	HARQ FD Txed	42	0	0	1	1	0	15	2
0.421071	DL DCI Rxed	42	1	0	1	1	0	12	2
0.421929	HARQ FD Txed	42	1	0	1	1	0	14	2
0.422071	DL DCI Rxed	42	2	0	1	1	0	11	2
0.422929	HARQ FD Txed	42	2	0	1	1	0	13	2
0.423071	DL DCI Rxed	42	3	0	1	1	0	15	2
0.423929	HARQ FD Txed	42	3	0	1	1	0	12	2
0.424071	DL DCI Rxed	42	4	0	1	1	0	14	2
0.424929	HARQ FD Txed	42	4	0	1	1	0	11	2
0.425071	DL DCI Rxed	42	5	0	1	1	0	13	2
0.425929	HARQ FD Txed	42	5	0	1	1	0	15	2
0.426071	DL DCI Rxed	42	6	0	1	1	0	12	2
0.426929	HARQ FD Txed	42	6	0	1	1	0	14	2
0.427071	DL DCI Rxed	42	7	0	1	1	0	11	2
0.427929	HARQ FD Txed	42	7	0	1	1	0	13	2
0.428071	DL DCI Rxed	42	8	0	1	1	0	15	2
